date,age_range,sex,cases,hospitalized,icu,deaths
2020-04-10,60-69,males,9736,6399,1047,445
2020-04-10,70-79,males,10060,7804,1043,1318
2020-04-10,80-89,males,7171,5376,85,1778
2020-04-10,90 y +,males,1871,1142,10,572
2020-04-10,Total,males,52130,30353,3260,4325
2020-04-11,0-9,both,292,86,8,1
2020-04-11,10-19,both,603,119,4,1
2020-04-11,20-29,both,5545,828,53,11
2020-04-11,30-39,both,10603,2214,165,24
2020-04-11,40-49,both,16591,5036,404,74
2020-04-11,50-59,both,20523,8212,903,212
2020-04-11,60-69,both,18261,10637,1485,637
2020-04-11,70-79,both,17474,12892,1483,1896
2020-04-11,80-89,both,14966,9973,153,3086
2020-04-11,90 y +,both,5455,2750,17,1318
2020-04-11,Total,both,110313,52747,4675,7260
2020-04-11,0-9,female,144,37,2,1
2020-04-11,10-19,female,312,64,1,1
2020-04-11,20-29,female,3575,415,22,3
2020-04-11,30-39,female,6361,1027,60,9
2020-04-11,40-49,female,9185,2000,115,26
2020-04-11,50-59,female,11070,3235,246,62
2020-04-11,60-69,female,8426,4169,422,184
2020-04-11,70-79,female,7309,5064,427,551
2020-04-11,80-89,female,7707,4541,67,1278
2020-04-11,90 y +,female,3558,1588,7,734
2020-04-11,Total,female,57647,22140,1369,2849
2020-04-11,0-9,males,148,49,6,0
2020-04-11,10-19,males,291,55,3,0
2020-04-11,20-29,males,1964,408,31,8
2020-04-11,30-39,males,4241,1186,105,15
2020-04-11,40-49,males,7404,3036,289,48
2020-04-11,50-59,males,9448,4975,657,150
2020-04-11,60-69,males,9831,6466,1063,453
2020-04-11,70-79,males,10163,7826,1055,1345
2020-04-11,80-89,males,7258,5431,86,1808
2020-04-11,90 y +,males,1897,1162,10,584
2020-04-11,Total,males,52645,30594,3305,4411
2020-04-12,0-9,both,396,154,20,1
2020-04-12,10-19,both,647,129,5,1
2020-04-12,20-29,both,6137,914,53,17
2020-04-12,30-39,both,11484,2409,170,35
2020-04-12,40-49,both,17962,5500,424,109
2020-04-12,50-59,both,22336,8933,938,281
2020-04-12,60-69,both,19747,11469,1563,873
2020-04-12,70-79,both,18716,13726,1519,2607
2020-04-12,80-89,both,16468,10762,160,3969
2020-04-12,90 y +,both,6101,2976,16,1589
2020-04-12,Total,both,119994,56972,4868,9482
2020-04-12,0-9,female,184,64,6,1
2020-04-12,10-19,female,341,71,2,1
2020-04-12,20-29,female,4000,462,22,5
2020-04-12,30-39,female,6948,1132,61,15
2020-04-12,40-49,female,9989,2197,118,39
2020-04-12,50-59,female,12095,3549,260,89
2020-04-12,60-69,female,9134,4511,432,259
2020-04-12,70-79,female,7884,5410,440,770
2020-04-12,80-89,female,8537,4952,73,1624
2020-04-12,90 y +,female,3989,1696,7,880
2020-04-12,Total,female,63101,24044,1421,3683
2020-04-12,0-9,males,212,90,14,0
2020-04-12,10-19,males,306,58,3,0
2020-04-12,20-29,males,2131,447,31,12
2020-04-12,30-39,males,4535,1276,109,20
2020-04-12,40-49,males,7971,3303,306,70
2020-04-12,50-59,males,10237,5382,677,192
2020-04-12,60-69,males,10610,6956,1131,614
2020-04-12,70-79,males,10829,8313,1077,1837
2020-04-12,80-89,males,7930,5809,87,2345
2020-04-12,90 y +,males,2112,1280,9,709
2020-04-12,Total,males,56873,32914,3444,5799
